Trajectory: 2641 points, duration 41.06s

pt 0087 t=3.384s  j1=0.1409(v=0.1271)  j2=0.0294(v=0.0760)  j3=-0.2675(v=-0.1924)  j4=-0.4513(v=-0.0147)  j5=0.3278(v=0.2945)  j6=0.4302(v=-0.0238)
pt 0088 t=3.397s  j1=0.1425(v=0.1278)  j2=0.0304(v=0.0776)  j3=-0.2700(v=-0.1924)  j4=-0.4515(v=-0.0147)  j5=0.3315(v=0.2961)  j6=0.4299(v=-0.0244)
pt 0089 t=3.410s  j1=0.1441(v=0.1284)  j2=0.0314(v=0.0792)  j3=-0.2724(v=-0.1924)  j4=-0.4517(v=-0.0147)  j5=0.3353(v=0.2978)  j6=0.4296(v=-0.0251)
pt 0090 t=3.422s  j1=0.1458(v=0.1291)  j2=0.0324(v=0.0808)  j3=-0.2749(v=-0.1924)  j4=-0.4519(v=-0.0147)  j5=0.3391(v=0.2994)  j6=0.4292(v=-0.0258)
pt 0091 t=3.435s  j1=0.1474(v=0.1297)  j2=0.0334(v=0.0824)  j3=-0.2773(v=-0.1924)  j4=-0.4520(v=-0.0148)  j5=0.3429(v=0.3011)  j6=0.4289(v=-0.0265)
pt 0092 t=3.447s  j1=0.1490(v=0.1304)  j2=0.0345(v=0.0841)  j3=-0.2797(v=-0.1924)  j4=-0.4522(v=-0.0148)  j5=0.3467(v=0.3028)  j6=0.4286(v=-0.0271)
pt 0093 t=3.460s  j1=0.1506(v=0.1311)  j2=0.0355(v=0.0857)  j3=-0.2821(v=-0.1924)  j4=-0.4524(v=-0.0148)  j5=0.3504(v=0.3046)  j6=0.4282(v=-0.0278)
pt 0094 t=3.472s  j1=0.1523(v=0.1318)  j2=0.0366(v=0.0874)  j3=-0.2845(v=-0.1924)  j4=-0.4526(v=-0.0149)  j5=0.3542(v=0.3063)  j6=0.4279(v=-0.0285)
pt 0095 t=3.484s  j1=0.1539(v=0.1325)  j2=0.0377(v=0.0891)  j3=-0.2868(v=-0.1924)  j4=-0.4528(v=-0.0149)  j5=0.3580(v=0.3081)  j6=0.4275(v=-0.0292)
pt 0096 t=3.497s  j1=0.1555(v=0.1332)  j2=0.0388(v=0.0909)  j3=-0.2892(v=-0.1924)  j4=-0.4530(v=-0.0150)  j5=0.3618(v=0.3098)  j6=0.4272(v=-0.0298)
pt 0097 t=3.509s  j1=0.1571(v=0.1339)  j2=0.0399(v=0.0926)  j3=-0.2915(v=-0.1924)  j4=-0.4531(v=-0.0151)  j5=0.3656(v=0.3116)  j6=0.4268(v=-0.0305)
pt 0098 t=3.521s  j1=0.1588(v=0.1346)  j2=0.0410(v=0.0944)  j3=-0.2938(v=-0.1924)  j4=-0.4533(v=-0.0151)  j5=0.3693(v=0.3135)  j6=0.4264(v=-0.0312)
pt 0099 t=3.533s  j1=0.1604(v=0.1354)  j2=0.0422(v=0.0962)  j3=-0.2962(v=-0.1924)  j4=-0.4535(v=-0.0152)  j5=0.3731(v=0.3153)  j6=0.4261(v=-0.0319)
pt 0100 t=3.545s  j1=0.1620(v=0.1361)  j2=0.0433(v=0.0980)  j3=-0.2985(v=-0.1924)  j4=-0.4537(v=-0.0153)  j5=0.3769(v=0.3172)  j6=0.4257(v=-0.0326)
pt 0101 t=3.557s  j1=0.1636(v=0.1368)  j2=0.0445(v=0.0998)  j3=-0.3007(v=-0.1924)  j4=-0.4539(v=-0.0154)  j5=0.3807(v=0.3191)  j6=0.4253(v=-0.0333)
pt 0102 t=3.569s  j1=0.1653(v=0.1376)  j2=0.0457(v=0.1017)  j3=-0.3030(v=-0.1924)  j4=-0.4541(v=-0.0155)  j5=0.3845(v=0.3210)  j6=0.4249(v=-0.0340)
pt 0103 t=3.580s  j1=0.1669(v=0.1384)  j2=0.0469(v=0.1036)  j3=-0.3053(v=-0.1924)  j4=-0.4542(v=-0.0156)  j5=0.3882(v=0.3229)  j6=0.4245(v=-0.0347)
pt 0104 t=3.592s  j1=0.1685(v=0.1391)  j2=0.0481(v=0.1055)  j3=-0.3075(v=-0.1924)  j4=-0.4544(v=-0.0157)  j5=0.3920(v=0.3248)  j6=0.4241(v=-0.0354)
pt 0105 t=3.604s  j1=0.1701(v=0.1399)  j2=0.0494(v=0.1074)  j3=-0.3098(v=-0.1924)  j4=-0.4546(v=-0.0158)  j5=0.3958(v=0.3268)  j6=0.4237(v=-0.0361)
pt 0106 t=3.615s  j1=0.1717(v=0.1407)  j2=0.0506(v=0.1093)  j3=-0.3120(v=-0.1924)  j4=-0.4548(v=-0.0159)  j5=0.3996(v=0.3288)  j6=0.4232(v=-0.0369)
pt 0107 t=3.627s  j1=0.1733(v=0.1415)  j2=0.0519(v=0.1113)  j3=-0.3142(v=-0.1924)  j4=-0.4550(v=-0.0161)  j5=0.4034(v=0.3309)  j6=0.4228(v=-0.0376)
pt 0108 t=3.638s  j1=0.1750(v=0.1423)  j2=0.0532(v=0.1133)  j3=-0.3164(v=-0.1924)  j4=-0.4552(v=-0.0162)  j5=0.4071(v=0.3329)  j6=0.4224(v=-0.0383)
pt 0109 t=3.649s  j1=0.1766(v=0.1431)  j2=0.0545(v=0.1153)  j3=-0.3185(v=-0.1924)  j4=-0.4553(v=-0.0164)  j5=0.4109(v=0.3350)  j6=0.4219(v=-0.0391)
pt 0110 t=3.661s  j1=0.1782(v=0.1440)  j2=0.0558(v=0.1174)  j3=-0.3207(v=-0.1924)  j4=-0.4555(v=-0.0165)  j5=0.4147(v=0.3371)  j6=0.4215(v=-0.0398)
pt 0111 t=3.672s  j1=0.1798(v=0.1448)  j2=0.0571(v=0.1195)  j3=-0.3229(v=-0.1924)  j4=-0.4557(v=-0.0167)  j5=0.4185(v=0.3392)  j6=0.4210(v=-0.0405)
pt 0112 t=3.683s  j1=0.1814(v=0.1450)  j2=0.0584(v=0.1210)  j3=-0.3250(v=-0.1914)  j4=-0.4559(v=-0.0168)  j5=0.4222(v=0.3397)  j6=0.4206(v=-0.0411)
pt 0113 t=3.694s  j1=0.1830(v=0.1444)  j2=0.0598(v=0.1219)  j3=-0.3271(v=-0.1895)  j4=-0.4561(v=-0.0168)  j5=0.4260(v=0.3385)  j6=0.4201(v=-0.0414)
pt 0114 t=3.705s  j1=0.1846(v=0.1438)  j2=0.0611(v=0.1228)  j3=-0.3292(v=-0.1876)  j4=-0.4563(v=-0.0168)  j5=0.4298(v=0.3373)  j6=0.4197(v=-0.0418)
pt 0115 t=3.716s  j1=0.1862(v=0.1432)  j2=0.0625(v=0.1237)  j3=-0.3313(v=-0.1858)  j4=-0.4565(v=-0.0168)  j5=0.4336(v=0.3361)  j6=0.4192(v=-0.0421)
